clause_id,contract_id,clause_type,clause_text_summary,standard_compliant,deviation_type,risk_score,review_status,reviewer_name,review_date,recommendation
CL-0001,CON-0001,Dispute Resolution,Dispute resolution in vendor home jurisdiction,false,Minor,4,Flagged,Patricia Nguyen,,Flag for review at renewal
CL-0002,CON-0001,Force Majeure,No force majeure clause included,false,Major,6,Pending,Patricia Nguyen,,Requires renegotiation before next renewal
CL-0003,CON-0001,Data Privacy,Data processing limited to specified purposes only,true,None,1,Reviewed,Steven Marsh,2024-10-31,No action needed
CL-0004,CON-0001,Insurance Requirements,Vendor maintains $5M general liability coverage,true,None,2,Reviewed,Patricia Nguyen,2024-12-17,Clause meets standard requirements
CL-0005,CON-0002,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,3,Reviewed,Linda Kowalski,2025-02-27,Recommend minor language update at next renewal
CL-0006,CON-0002,Audit Rights,Annual audit rights with 30-day advance notice,true,None,2,Reviewed,Thomas Grant,2024-12-18,No action needed
CL-0007,CON-0002,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,3,Reviewed,Angela Perez,2024-01-21,No action needed
CL-0008,CON-0002,SLA/Performance,No defined SLA metrics or penalties,false,Major,6,Pending,Angela Perez,,Requires renegotiation before next renewal
CL-0009,CON-0002,Change Control,Vendor may implement changes with 5-day notice,false,Minor,3,Flagged,Steven Marsh,,Acceptable with noted deviation
CL-0010,CON-0003,Termination,No termination for convenience clause included,false,Major,7,Pending,Patricia Nguyen,,Requires renegotiation before next renewal
CL-0011,CON-0003,SLA/Performance,Quarterly performance reviews with scorecards,true,None,2,Reviewed,Thomas Grant,2024-02-15,No action needed
CL-0012,CON-0003,Data Privacy,GDPR and CCPA compliant data processing addendum,true,None,2,Pending,Thomas Grant,,No action needed
CL-0013,CON-0003,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,3,Reviewed,Linda Kowalski,2024-10-08,Clause meets standard requirements
CL-0014,CON-0003,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,5,Pending,Angela Perez,,Requires renegotiation before next renewal
CL-0015,CON-0004,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,1,Reviewed,Thomas Grant,2025-01-01,No action needed
CL-0016,CON-0004,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,4,Pending,Angela Perez,,Recommend minor language update at next renewal
CL-0017,CON-0004,Liability Cap,Liability capped at 2x annual contract value,true,None,1,Pending,Linda Kowalski,,Clause meets standard requirements
CL-0018,CON-0004,Change Control,Change requests processed within 10 business days,true,None,3,Reviewed,Angela Perez,2024-09-04,No action needed
CL-0019,CON-0005,Force Majeure,No force majeure clause included,false,Major,8,Flagged,Patricia Nguyen,,Escalate to legal for amendment
CL-0020,CON-0005,Dispute Resolution,Dispute resolution in vendor home jurisdiction,false,Minor,5,Reviewed,Robert Ashford,2024-09-14,Flag for review at renewal
CL-0021,CON-0005,Audit Rights,Annual audit rights with 30-day advance notice,true,None,2,Pending,Robert Ashford,,No action needed
CL-0022,CON-0005,Data Privacy,Missing data breach notification timeline,false,Major,7,Pending,Steven Marsh,,Escalate to legal for amendment
CL-0023,CON-0005,Insurance Requirements,Professional liability insurance at $2M minimum,true,None,3,Pending,Steven Marsh,,No action needed
CL-0024,CON-0006,SLA/Performance,"Response time SLA: critical 4hrs, high 8hrs, standard 24hrs",true,None,1,Reviewed,Steven Marsh,2024-12-26,Clause meets standard requirements
CL-0025,CON-0006,Indemnification,Indemnification excludes consequential damages,true,Minor,3,Reviewed,Linda Kowalski,2024-07-02,Acceptable with noted deviation
CL-0026,CON-0006,Payment Terms,Net 30 payment terms with 1.5% late fee,true,None,3,Reviewed,Patricia Nguyen,2024-11-08,No action needed
CL-0027,CON-0007,Insurance Requirements,Professional liability insurance at $2M minimum,true,None,2,Reviewed,Steven Marsh,2024-10-06,Clause meets standard requirements
CL-0028,CON-0007,SLA/Performance,"Response time SLA: critical 4hrs, high 8hrs, standard 24hrs",true,None,3,Reviewed,Thomas Grant,2025-03-08,No action needed
CL-0029,CON-0007,Termination,30-day termination for convenience by either party,true,None,2,Pending,Linda Kowalski,,Approved as-is
CL-0030,CON-0007,Payment Terms,Net 60 terms with early payment discount of 2%,true,Minor,3,Reviewed,Angela Perez,2024-12-17,Flag for review at renewal
CL-0031,CON-0008,Audit Rights,Unlimited audit access during contract term,true,Minor,5,Flagged,Robert Ashford,,Flag for review at renewal
CL-0032,CON-0008,SLA/Performance,Quarterly performance reviews with scorecards,true,None,3,Reviewed,Steven Marsh,2024-11-26,Clause meets standard requirements
CL-0033,CON-0008,Governing Law,Governed by laws of England and Wales,true,None,1,Reviewed,Patricia Nguyen,2024-05-31,No action needed
CL-0034,CON-0009,Termination,30-day termination for convenience by either party,true,None,1,Pending,Linda Kowalski,,Clause meets standard requirements
CL-0035,CON-0009,Payment Terms,Net 30 payment terms with 1.5% late fee,true,None,1,Reviewed,Patricia Nguyen,2025-02-08,No action needed
CL-0036,CON-0009,Audit Rights,Annual audit rights with 30-day advance notice,true,None,2,Reviewed,Steven Marsh,2024-07-09,Clause meets standard requirements
CL-0037,CON-0009,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,5,Reviewed,Steven Marsh,2024-02-02,Flag for review at renewal
CL-0038,CON-0009,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,4,Reviewed,Patricia Nguyen,2024-06-04,Acceptable with noted deviation
CL-0039,CON-0009,Governing Law,Governed by laws of the State of New York,true,None,3,Reviewed,Steven Marsh,2025-01-15,Approved as-is
CL-0040,CON-0010,SLA/Performance,No defined SLA metrics or penalties,false,Major,7,Flagged,Thomas Grant,,Requires renegotiation before next renewal
CL-0041,CON-0010,Governing Law,Governing law not specified in agreement,false,Major,7,Flagged,Linda Kowalski,,Requires renegotiation before next renewal
CL-0042,CON-0010,Change Control,Vendor may implement changes with 5-day notice,false,Minor,5,Flagged,Angela Perez,,Recommend minor language update at next renewal
CL-0043,CON-0010,Termination,30-day termination for convenience by either party,true,None,1,Pending,Robert Ashford,,Approved as-is
CL-0044,CON-0010,Data Privacy,GDPR and CCPA compliant data processing addendum,true,None,2,Reviewed,Robert Ashford,2024-10-03,No action needed
CL-0045,CON-0010,Indemnification,One-sided indemnification favoring vendor,false,Major,6,Flagged,Robert Ashford,,High priority — initiate vendor discussion
CL-0046,CON-0011,Liability Cap,No liability cap defined,false,Critical,9,Flagged,Linda Kowalski,,Contract amendment needed within 30 days
CL-0047,CON-0011,Termination,30-day termination for convenience by either party,true,None,3,Pending,Angela Perez,,No action needed
CL-0048,CON-0011,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,1,Pending,Patricia Nguyen,,No action needed
CL-0049,CON-0011,Audit Rights,Audit limited to financial records only,false,Minor,3,Reviewed,Patricia Nguyen,2024-03-05,Acceptable with noted deviation
CL-0050,CON-0011,Change Control,Change requests processed within 10 business days,true,None,2,Pending,Angela Perez,,No action needed
CL-0051,CON-0012,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,4,Pending,Thomas Grant,,Acceptable with noted deviation
CL-0052,CON-0012,Governing Law,Governed by laws of the State of New York,true,None,2,Reviewed,Linda Kowalski,2024-03-19,Approved as-is
CL-0053,CON-0012,Indemnification,One-sided indemnification favoring vendor,false,Major,5,Flagged,Steven Marsh,,High priority — initiate vendor discussion
CL-0054,CON-0013,Dispute Resolution,Dispute resolution in vendor home jurisdiction,false,Minor,3,Flagged,Thomas Grant,,Flag for review at renewal
CL-0055,CON-0013,Termination,30-day termination for convenience by either party,true,None,3,Pending,Angela Perez,,Clause meets standard requirements
CL-0056,CON-0013,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,3,Pending,Patricia Nguyen,,Acceptable with noted deviation
CL-0057,CON-0013,Liability Cap,Liability capped at total contract value,true,None,3,Pending,Steven Marsh,,No action needed
CL-0058,CON-0013,SLA/Performance,"Response time SLA: critical 4hrs, high 8hrs, standard 24hrs",true,None,3,Reviewed,Robert Ashford,2024-03-14,Approved as-is
CL-0059,CON-0014,Indemnification,One-sided indemnification favoring vendor,false,Major,8,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0060,CON-0014,Termination,Termination only for cause with 180-day cure period,false,Minor,3,Reviewed,Steven Marsh,2024-02-11,Acceptable with noted deviation
CL-0061,CON-0014,Governing Law,Governed by laws of England and Wales,true,None,2,Reviewed,Robert Ashford,2025-01-21,Approved as-is
CL-0062,CON-0014,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,1,Pending,Linda Kowalski,,Clause meets standard requirements
CL-0063,CON-0014,Liability Cap,Liability capped at 2x annual contract value,true,None,1,Reviewed,Linda Kowalski,2024-05-28,No action needed
CL-0064,CON-0014,Audit Rights,Unlimited audit access during contract term,true,Minor,4,Pending,Angela Perez,,Flag for review at renewal
CL-0065,CON-0015,Force Majeure,Standard force majeure covering natural disasters and pandemics,true,None,2,Reviewed,Angela Perez,2024-08-07,Approved as-is
CL-0066,CON-0015,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Pending,Robert Ashford,,Flag for review at renewal
CL-0067,CON-0015,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,1,Reviewed,Angela Perez,2024-07-24,Approved as-is
CL-0068,CON-0015,Confidentiality,Confidentiality obligations survive 5 years,true,None,3,Reviewed,Patricia Nguyen,2024-09-18,Approved as-is
CL-0069,CON-0016,Force Majeure,Force majeure limited to acts of war only,false,Minor,5,Reviewed,Robert Ashford,2024-05-11,Recommend minor language update at next renewal
CL-0070,CON-0016,Audit Rights,Annual audit rights with 30-day advance notice,true,None,3,Reviewed,Thomas Grant,2025-01-21,Approved as-is
CL-0071,CON-0016,Payment Terms,Payment upon delivery with no grace period,false,Major,7,Flagged,Robert Ashford,,Escalate to legal for amendment
CL-0072,CON-0017,Insurance Requirements,Professional liability insurance at $2M minimum,true,None,3,Reviewed,Linda Kowalski,2024-08-24,No action needed
CL-0073,CON-0017,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Flagged,Angela Perez,,Acceptable with noted deviation
CL-0074,CON-0017,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,2,Pending,Thomas Grant,,Approved as-is
CL-0075,CON-0018,Liability Cap,Unlimited liability for vendor — non-standard,false,Major,6,Flagged,Steven Marsh,,Escalate to legal for amendment
CL-0076,CON-0018,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,7,Flagged,Linda Kowalski,,High priority — initiate vendor discussion
CL-0077,CON-0018,Indemnification,Indemnification excludes consequential damages,true,Minor,4,Reviewed,Angela Perez,2024-12-13,Acceptable with noted deviation
CL-0078,CON-0018,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,2,Reviewed,Steven Marsh,2024-12-23,Approved as-is
CL-0079,CON-0019,Termination,30-day termination for convenience by either party,true,None,1,Pending,Thomas Grant,,Approved as-is
CL-0080,CON-0019,SLA/Performance,"Response time SLA: critical 4hrs, high 8hrs, standard 24hrs",true,None,2,Reviewed,Robert Ashford,2024-04-25,Clause meets standard requirements
CL-0081,CON-0019,Governing Law,Governed by laws of England and Wales,true,None,1,Reviewed,Angela Perez,2024-03-08,Approved as-is
CL-0082,CON-0019,Indemnification,Mutual indemnification for third-party IP claims,true,None,1,Reviewed,Patricia Nguyen,2024-07-29,No action needed
CL-0083,CON-0019,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,2,Reviewed,Robert Ashford,2024-09-30,Clause meets standard requirements
CL-0084,CON-0019,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,4,Pending,Thomas Grant,,Flag for review at renewal
CL-0085,CON-0020,Termination,30-day termination for convenience by either party,true,None,2,Pending,Patricia Nguyen,,No action needed
CL-0086,CON-0020,Change Control,All changes require written approval from both parties,true,None,2,Reviewed,Robert Ashford,2025-02-22,No action needed
CL-0087,CON-0020,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,3,Pending,Robert Ashford,,Acceptable with noted deviation
CL-0088,CON-0020,SLA/Performance,No defined SLA metrics or penalties,false,Major,7,Pending,Steven Marsh,,Escalate to legal for amendment
CL-0089,CON-0020,Audit Rights,No audit rights granted to Contoso,false,Critical,10,Flagged,Steven Marsh,,Escalate to VP Legal immediately
CL-0090,CON-0020,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,1,Reviewed,Angela Perez,2025-01-07,Approved as-is
CL-0091,CON-0021,Indemnification,Vendor indemnifies for all claims including negligence,true,None,3,Reviewed,Thomas Grant,2024-11-01,Approved as-is
CL-0092,CON-0021,Dispute Resolution,Binding arbitration under AAA rules,true,None,3,Reviewed,Angela Perez,2024-06-29,Clause meets standard requirements
CL-0093,CON-0021,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,3,Reviewed,Patricia Nguyen,2024-09-26,Approved as-is
